Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.109547371,87.26
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.124081025,77.44
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.112454182,86.16
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.148867839,65.42
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.142026154,69.42
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.108214703,95.92
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.141787793,73.84
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.087877692,120.28
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.155729709,70.24
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.155118932,71.62
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.237418304,8.50
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.165980126,15.36
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.139112267,20.77
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.106907685,27.12
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.082812790,35.62
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.075130165,42.99
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.038002402,84.73
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.116124600,69.14
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.152825435,68.05
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.171379875,61.38
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.083674854,125.72
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.105080272,104.39
13,386d25013d9257354004499630a0474936ca9afe,9235257,.100098702,87.91
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.148549758,61.25
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.117096807,78.65
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.144627832,63.81
17,0906e19089d696d0b0b986310417382d10731506,9799352,.099891800,93.50
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.114341848,83.34
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.059178828,161.54
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.086626784,110.93
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.058191046,166.52
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.054922349,177.34
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.077852742,126.64
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.085826170,120.94
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.063514833,164.84
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.064222988,164.58
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.089889355,121.70
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.104115727,106.70
