Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,1c507bcc36824afc54efb6d76e3d1904b9bb9de1,2119444,.224898448,8.98
2,3751fc0d013902d96729a5717bd64c6b4d6a0a6e,2678859,.239947008,10.62
3,6924be31de94ccaae8b96077037ab312939c0e32,3030771,.129203228,22.36
4,95f8c266cb9e0f7c0aa04275daee87309da60c49,3048959,.106865313,27.13
5,c7a0232424c0cebf422d1155690ddd89bcf973d7,3093446,.040196651,73.38
6,d3733b28ba685e91957eb785b700fe7f512b2740,3388103,.043318388,74.56
7,d503c455a2365acd9ae96fdaa212e6a3d012cbb0,3385974,.055207106,58.32
8,da8b321aa1d11d4c3b4c437c9c697fd9b93076a1,8429060,.118189922,67.94
9,9749c7ed7ab0281a7fbcb069ca6de17c547ceefd,10910368,.087318945,119.10
10,b939be9b42d03a5a25a97a654bfe99327632f525,11032334,.126194617,83.36
11,3f6555b76a7f988d1d8c80c585f74a5bc91044b9,11038198,.171830101,61.22
12,c2669fd0ba72856aa53c9bb576ea8aab60e70648,11512567,.105804898,103.68
13,386d25013d9257354004499630a0474936ca9afe,9235257,.111011277,79.27
14,6fe06c8e77e815cb87687d39246324b0687526ce,9546872,.144375456,63.03
15,a1f75f0206724ee3858525018e55f44eb153d5ce,9667081,.104109050,88.46
16,2ae594fe2edc5b517559a266317d2fa18b8817af,9680618,.161326039,57.21
17,0906e19089d696d0b0b986310417382d10731506,9799352,.158463366,58.94
18,a7350b8c7d319482804752cae0713134d2fd9c41,9994121,.099285886,95.98
19,1843b828a431dbf2465b334cf74b103de1a9b1c7,10025623,.138448782,69.05
20,bcb2b288a3c86216e1ec0330dc9ff756379b4960,10077415,.059966738,160.25
21,df1d229d1ef4148eaf123d297a45485f2316c9ec,10163329,.061157203,158.44
22,85b4e97ddba39b14c08c3a6d211afca1ee07e975,10222733,.182139321,53.47
23,5a89a24f011d0b3f6bd2c26a1ac3f32e166bd69a,10344989,.170478384,57.83
24,d14d8d77a8e3d6533eb035610987072d4368e932,10892125,.056888992,182.46
25,bac2d2c42bb4b5a95ca65b5f59992fc113fdd6e0,10988954,.058472539,179.05
26,dd0ded1dfcaf0c9a1383c15c367b33747313e4ec,11093195,.059559526,177.46
27,06d75dbf7be1efa014e5fb5d99d5cfda30091a0c,11476391,.061887921,176.77
28,98c941aa28ca1a51e3dd7630f0b700bd845de4d7,11653108,.098823416,112.42
