Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-default,436715292,44704872,167311,44872183,9.7688,9.7324,36.612799326,0,36.612799326
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.366955636,0,14.366955636
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1201.784670670,0,1201.784670670
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.895783346,0,61.895783346
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,67.690848012,0,67.690848012
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.965728069,0,248.965728069
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3690.984851578,0,3690.984851578
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3843.578884916,0,3843.578884916
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.425304166,0,14.425304166
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1202.704824333,0,1202.704824333
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.728519929,0,61.728519929
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,69.308027036,0,69.308027036
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.896699711,0,248.896699711
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3721.422695956,0,3721.422695956
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3838.887086782,0,3838.887086782
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.425304166,0,14.425304166
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1202.704824333,0,1202.704824333
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.728519929,0,61.728519929
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,69.308027036,0,69.308027036
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.896699711,0,248.896699711
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3721.422695956,0,3721.422695956
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3838.887086782,0,3838.887086782
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.425304166,0,14.425304166
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1202.704824333,0,1202.704824333
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.728519929,0,61.728519929
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,69.308027036,0,69.308027036
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.896699711,0,248.896699711
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3721.422695956,0,3721.422695956
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3838.887086782,0,3838.887086782
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.425304166,0,14.425304166
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1202.704824333,0,1202.704824333
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.728519929,0,61.728519929
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,69.308027036,0,69.308027036
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.896699711,0,248.896699711
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3721.422695956,0,3721.422695956
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3838.887086782,0,3838.887086782
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
coreutils-default,240412678,18744706,234612,18979318,12.8256,12.6670,14.425304166,0,14.425304166
gcc-default,40468435629,979498229,13116879,992615108,41.3154,40.7695,1202.704824333,0,1202.704824333
react-default,2886518499,69460526,1071955,70532481,41.5562,40.9246,61.728519929,0,61.728519929
netty-default,2332724103,33368294,416024,33784318,69.9084,69.0475,69.308027036,0,69.308027036
Cpython-default,10093334224,310061724,592560,310654284,32.5526,32.4905,248.896699711,0,248.896699711
linux-default,205211416948,1016488076,8686375,1025174451,201.8827,200.1721,3721.422695956,0,3721.422695956
WEB-default,299875782605,847064029,6348967,853412996,354.0178,351.3841,3838.887086782,0,3838.887086782
automake-default,436715292,44709024,167311,44876335,9.7679,9.7315,37.229292049,0,37.229292049
