Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,2182518,.454347967,4.57,494021,119492,613513
2,2757185,.473087649,5.53,984098,134565,1118663
3,3117942,.481000962,6.17,1457670,142089,1599759
4,3134771,.234918091,12.68,1556557,142740,1699297
5,3179275,.223658923,13.54,1716550,143830,1860380
6,3428842,.433772092,7.51,2132149,146918,2279067
7,3426700,.252076172,12.93,2180370,147152,2327522
8,8486332,.793142014,10.19,4058796,172375,4231171
9,10980071,.509414644,20.55,4973707,186174,5159881
10,11100568,.416691561,25.39,5520219,188225,5708444
11,11106769,.288076733,36.76,5611604,188646,5800250
12,11586094,.585319346,18.86,6502002,200229,6702231
13,9302953,.543184718,16.32,7570891,202226,7773117
14,9617771,.518418475,17.68,8347777,204135,8551912
15,9734271,.531197356,17.46,9133122,206132,9339254
16,9755607,.518938001,17.92,10013215,206587,10219802
17,9876379,.561610632,16.75,11038744,216050,11254794
18,10073460,.526516951,18.23,11779372,225800,12005172
19,10103074,.393711066,24.45,12236401,226412,12462813
20,10154343,.560227384,17.27,13368147,227161,13595308
21,10239329,.400726097,24.35,13905432,227691,14133123
22,10298229,.420502573,23.35,14379381,228023,14607404
23,10422176,.514843279,19.28,15163081,230363,15393444
24,10970042,.479905191,21.79,16049594,233879,16283473
25,11070098,.448121185,23.54,16625422,233817,16859239
26,11178454,.454852075,23.43,17163260,234405,17397665
27,11476317,.597198577,18.31,18064639,236498,18301137
28,11653108,.533513041,20.82,18938392,234732,19173124
1,2182518,.461562424,4.50,494021,119492,613513
2,2757185,.393814195,6.65,984098,134565,1118663
3,3117942,.499289525,5.94,1457670,142089,1599759
4,3134771,.178164287,16.72,1556557,142740,1699297
5,3179275,.254436768,11.90,1716550,143830,1860380
6,3428842,.431906389,7.54,2132149,146918,2279067
7,3426700,.257821743,12.64,2180370,147152,2327522
8,8486332,.850815899,9.50,4058796,172375,4231171
9,10980071,.525710098,19.91,4973707,186174,5159881
