Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,35.893262603,0,35.893262603
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.046827041,0,14.046827041
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1277.293761163,0,1277.293761163
react-default,2886518499,69460414,1071979,70532393,41.5563,40.9247,77.409440147,0,77.409440147
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,80.403356906,0,80.403356906
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,269.668189808,0,269.668189808
linux-default,205211416948,2086732928,8714611,2095447539,98.3410,97.9320,4051.864150196,0,4051.864150196
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3851.490175330,0,3851.490175330
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,37.159943826,0,37.159943826
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.293830403,0,14.293830403
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1198.630657394,0,1198.630657394
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.863195445,0,60.863195445
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.679313277,0,68.679313277
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.341409577,0,248.341409577
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3699.563196299,0,3699.563196299
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3843.685082922,0,3843.685082922
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,37.159943826,0,37.159943826
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.293830403,0,14.293830403
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1198.630657394,0,1198.630657394
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.863195445,0,60.863195445
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.679313277,0,68.679313277
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.341409577,0,248.341409577
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3699.563196299,0,3699.563196299
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3843.685082922,0,3843.685082922
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,37.159943826,0,37.159943826
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.293830403,0,14.293830403
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1198.630657394,0,1198.630657394
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.863195445,0,60.863195445
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.679313277,0,68.679313277
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.341409577,0,248.341409577
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3699.563196299,0,3699.563196299
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3843.685082922,0,3843.685082922
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,37.159943826,0,37.159943826
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.293830403,0,14.293830403
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1198.630657394,0,1198.630657394
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.863195445,0,60.863195445
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.679313277,0,68.679313277
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.341409577,0,248.341409577
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3699.563196299,0,3699.563196299
WEB-default,299875782605,847064029,6348991,853413020,354.0178,351.3841,3843.685082922,0,3843.685082922
automake-default,436715292,44704872,167335,44872207,9.7688,9.7324,37.159943826,0,37.159943826
coreutils-default,240412678,18744706,234636,18979342,12.8256,12.6670,14.293830403,0,14.293830403
gcc-default,40468435629,979494133,13116903,992611036,41.3156,40.7696,1198.630657394,0,1198.630657394
react-default,2886518499,69460526,1071979,70532505,41.5562,40.9246,60.863195445,0,60.863195445
netty-default,2332724103,33368294,416048,33784342,69.9084,69.0474,68.679313277,0,68.679313277
Cpython-default,10093334224,310061724,592584,310654308,32.5526,32.4905,248.341409577,0,248.341409577
linux-default,205211416948,1016488076,8686399,1025174475,201.8827,200.1721,3699.563196299,0,3699.563196299
