Version,LogicalSize_Bytes,CommitTime_Seconds,Throughput_MB/s,LooseObjectsSize_Bytes,LooseMetadataSize_Bytes,LooseTotalSize_Bytes
1,95072414,7.859115282,11.53,26881541,492109,27373650
2,95172660,2.325332586,39.03,31085080,492440,31577520
3,95633624,2.951676454,30.89,38631841,492666,39124507
4,95710717,1.981374706,46.06,43289282,491635,43780917
5,95767418,2.158560477,42.31,47276033,492315,47768348
6,95874517,2.445630735,37.38,54134921,492999,54627920
7,96031005,1.690610629,54.16,56421361,493393,56914754
8,96073810,2.075146141,44.15,60713692,493715,61207407
9,96156132,1.165099233,78.70,61369305,494037,61863342
10,96181716,1.102422958,83.19,62058630,494458,62553088
11,96225095,1.217194888,75.38,62894142,494870,63389012
12,96280016,1.306724190,70.25,63871121,495194,64366315
13,96295453,1.052000452,87.29,64352402,495606,64848008
14,96159344,1.056339852,86.80,64997331,495930,65493261
15,96211395,1.096105950,83.70,65592190,496254,66088444
16,97419644,5.568410933,16.68,80323265,515972,80839237
17,92656128,4.510959030,19.58,91821999,496422,92318421
18,92958211,2.882431096,30.75,98338665,497649,98836314
19,93342477,2.276176770,39.10,102050435,499576,102550011
20,93684968,2.399319246,37.23,106085929,501115,106587044
21,93855134,2.452094722,36.49,110264022,502378,110766400
22,94105945,2.797287959,32.08,114853974,503798,115357772
23,94494954,2.787369474,32.32,119542438,514979,120057417
24,94930340,3.064758791,29.53,124417834,517461,124935295
25,96567704,2.180429596,42.23,127594169,517969,128112138
26,96574342,1.078983371,85.35,128070252,518293,128588545
27,96788905,2.147401036,42.98,131283106,519210,131802316
28,97165615,1.781412992,52.01,134609975,519526,135129501
29,97252200,1.958375957,47.35,136318699,519923,136838622
30,97352699,1.501141643,61.84,137327574,519092,137846666
31,97692230,3.135623765,29.71,142663519,520304,143183823
32,97920212,2.073364455,45.03,145787565,520924,146308489
33,97974831,1.947906622,47.96,148587510,521248,149108758
34,98288476,2.727271456,34.36,155302091,522125,155824216
35,98417569,3.059686351,30.67,163179310,522809,163702119
36,98524809,2.371824640,39.61,167588462,526805,168115267
37,98718707,2.627005781,35.83,172512501,530699,173043200
38,98939219,3.034679550,31.09,180271541,531389,180802930
39,99175341,2.736322764,34.56,185213926,532356,185746282
40,99235132,1.263723238,74.88,186275793,532680,186808473
41,99245708,1.116548949,84.76,186604895,533092,187137987
42,99616951,1.312755774,72.36,187251160,533416,187784576
43,99673755,1.176912119,80.76,187856570,533740,188390310
44,102067239,6.167436578,15.78,202999084,522458,203521542
45,97037979,4.541825368,20.37,211233436,514359,211747795
46,96139199,2.895685055,31.66,216038998,506715,216545713
47,96531666,2.875281863,32.01,220873076,509750,221382826
48,96497220,2.470305090,37.25,225008585,508106,225516691
49,96781557,2.469130424,37.37,230287343,510244,230797587
50,97038998,2.599492636,35.59,234358190,512352,234870542
51,97356817,2.484010174,37.37,238356017,514716,238870733
52,98422334,3.515470708,26.69,244315110,507289,244822399
53,101214785,1.894078540,50.95,246859947,507806,247367753
54,101296041,1.724524200,56.01,248875215,508034,249383249
55,101368542,2.104340381,45.93,250871639,508254,251379893
56,101544694,2.267572386,42.70,292307648,673127,292980775
57,101976969,1.878050964,51.78,66272193,513189,66785382
58,102038483,1.168049650,83.30,66671036,513505,67184541
59,102561389,3.294900065,29.68,72782136,520033,73302169
60,102867616,3.027097834,32.40,78424029,520869,78944898
61,103124716,3.007318037,32.70,83926681,522249,84448930
62,103346421,3.724803537,26.45,91010967,523431,91534398
63,103267224,3.375158449,29.17,98884600,526008,99410608
64,103390545,2.156209092,45.72,102665194,526524,103191718
65,103417233,2.288573692,43.09,106369213,527085,106896298
66,103681907,3.162398782,31.26,112982021,529997,113512018
67,103841211,2.392121131,41.39,116484134,531500,117015634
68,103676757,2.449147995,40.36,122188943,533580,122722523
69,103733404,1.112539242,88.91,122723742,533904,123257646
70,107877248,6.119761546,16.80,139434846,553968,139988814
71,98847116,4.972103274,18.95,149673714,504389,150178103
72,99179394,3.875128968,24.40,156571891,520325,157092216
73,99741606,3.937683885,24.15,166303564,526284,166829848
74,100710465,3.440952748,27.91,173081083,531541,173612624
75,101483591,3.204703346,30.19,179190211,536704,179726915
76,102083723,3.145950893,30.94,184796789,543172,185339961
77,103291730,3.663352127,26.88,191713855,551154,192265009
78,103535601,2.973247516,33.20,197001629,553248,197554877
79,103459036,2.350898685,41.96,201951652,554545,202506197
80,103661012,2.001510909,49.38,205129608,555261,205684869
81,103699369,2.050922187,48.21,207949880,557518,208507398
82,106364240,2.021094072,50.18,210310576,559047,210869623
83,107868656,1.286896687,79.93,210694150,556844,211250994
84,108379556,3.413740712,30.27,216678863,562031,217240894
85,108594291,2.527873622,40.96,220843991,563676,221407667
86,108507728,2.831181926,36.55,225827581,566538,226394119
87,108746225,2.876953475,36.04,232398019,567846,232965865
88,108906551,1.570574100,66.12,234928207,568170,235496377
89,107076340,4.877664738,20.93,245419125,561219,245980344
90,107699111,3.476552053,29.54,252029726,568688,252598414
91,108084637,3.068729098,33.58,257478862,570128,258048990
92,108444974,2.932583479,35.26,262601730,571260,263172990
93,108792788,4.364620106,23.77,269463741,573874,270037615
94,109684831,3.571957651,29.28,276333060,577693,276910753
95,110100244,3.704470369,28.34,283584931,581632,284166563
96,111923245,4.094146099,26.06,292236307,588042,292824349
97,114880713,3.215354819,34.07,297881356,589371,298470727
98,115263816,2.580499442,42.59,302120404,590439,302710843
99,115332134,2.614568204,42.06,306345278,591544,306936822
100,115475785,2.403478586,45.81,310061724,592584,310654308
1,95072414,6.437838525,14.08,26881541,492109,27373650
2,95172660,2.208411577,41.09,31085080,492440,31577520
3,95633624,2.520426722,36.18,38631841,492666,39124507
4,95710717,1.799333876,50.72,43289282,491635,43780917
5,95767418,2.051872108,44.51,47276033,492315,47768348
6,95874517,2.286539458,39.98,54134921,492999,54627920
7,96031005,1.565636159,58.49,56421361,493393,56914754
8,96073810,1.738146201,52.71,60713692,493715,61207407
9,96156132,1.013661946,90.46,61369305,494037,61863342
10,96181716,.999174846,91.79,62058630,494458,62553088
11,96225095,1.132420787,81.02,62894142,494870,63389012
12,96280016,1.134355775,80.93,63871121,495194,64366315
13,96295453,.970238691,94.64,64352402,495606,64848008
14,96159344,1.013491477,90.47,64997331,495930,65493261
15,96211395,.982049635,93.42,65592190,496254,66088444
16,97419644,5.209597210,17.83,80323265,515972,80839237
17,92656128,4.342019209,20.34,91821999,496422,92318421
18,92958211,2.724642701,32.53,98338665,497649,98836314
19,93342477,2.110098164,42.18,102050435,499576,102550011
20,93684968,2.255966914,39.60,106085929,501115,106587044
21,93855134,2.303231507,38.85,110264022,502378,110766400
22,94105945,2.588103485,34.67,114853974,503798,115357772
23,94494954,2.506642582,35.94,119542438,514979,120057417
24,94930340,2.656587649,34.07,124417834,517461,124935295
