Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
1,61ebca37276e711bb89755fbbdaf9ac3039c62f9,2893207779,21.510134359,128.27
2,ea77d969c712e58e4f12d61ba775fd488b982f43,2903092105,11.759104665,235.44
3,5c9464fc4fcc3a757c249a85949991f2f016bfc9,2881454642,21.528481130,127.64
4,770a456060fbafe103b167adf2b01aa4e0d94903,2922171566,23.412615601,119.02
5,831cbd5dd036d20d8e1d28d9a2337b4b5752bf64,2895587350,10.349460403,266.81
6,5a0aafd58b03c54930e8d183e34e6757570c9682,2928036074,13.731754978,203.35
7,21737933a799f56437faef76f2eb6ad0e3bb8486,2928425638,13.041544068,214.14
8,3270307ee89fb5ab48ca52307d897fca7a96fe7f,2959969199,32.064729951,88.03
9,2aff970bf45216de1f7a2f376d6692a8a8076eae,2942614459,29.225676557,96.02
10,b05d24a79fa236421334ebf0803e842048ebf1b4,2942112331,25.444726152,110.27
11,e357919e0baa947a75c060affe4e7d1467d82448,2920548108,25.469589113,109.35
12,ae3d2d6aaacabae7dc039b2d2f192ea5a00ab1cd,2918658808,45.228819888,61.54
13,6afeb1ee641888fef8bd42e6c68820c8d354e06b,2965403400,25.379351305,111.42
14,7391dd8d9e85a362d06988741081fd073e81f9f2,2942765901,27.542384767,101.89
15,e70896292ddd5e0e8a80ff909effe0090d8484c1,2963773798,24.853581166,113.72
16,ee7da2b301f9d23de8ab768963f842472e0a66d9,2958433457,24.527739790,115.02
17,0b28ed5d7d52db8dfb528388dfdceb837e4247a0,3002113733,52.824322723,54.19
18,86d7ab14fa255ca94fb1cd75745bf12032734587,3022826060,26.019951492,110.79
19,411de36a15a8ee2e575e65e86d2e794d8b50f4a9,3025358153,26.285579344,109.76
20,322ddfe269c8c3ab1dac67b58462fb267a409f52,3003664894,24.768373973,115.65
21,f4ad8897ab90ac6665859bb3c0c8345767da395a,2954328755,32.420777579,86.90
22,1e1a6d5968e76d157fa85dc5423d35eface96be0,2913024163,23.436194329,118.53
23,9fca750869f75ff7b441f03cd6a8a03415fdeba1,2885217470,24.802409444,110.93
24,902627898be383023bc701bb4aac70d9ce6db843,2874744597,23.737535973,115.49
25,689625303d75cd8446a7f4638683b3039e827cfa,2889627618,33.007939879,83.48
26,2f1a6056ea3113f8ec1db8a04e481beaf94e8842,2897802950,23.495463692,117.62
27,2af3dbd52054efe8f5f4fee0e47fc48618ccf97d,2888724205,25.276113946,108.99
28,81a44f834fec11e4ec46f993d4fd869b48695ec1,2887488925,23.819871304,115.60
29,874be38817e0a5bbbcebf49d98b735896d6ab2d5,2894631484,27.410587456,100.71
30,e7e8b130b93d65aeda5a528f5ae463a82a24752b,2898884721,23.553442572,117.37
31,cc0250363a4517023ea834eb556b7f75eb3e1664,2913438145,25.144372057,110.50
32,69f1cf03a0cfea3abc39795fcc917c5ef2c5f61f,2876255259,23.760335370,115.44
33,3ed770b2b05ec8201f79cb4a6c16cb82f64291d8,2841577442,26.503038370,102.24
34,72376f62a21666198700efbc1941efbd8f73cac8,2889946546,26.121691698,105.50
35,1a800b718f8dd0df0097cdc624626391ecfe79b3,2904318650,33.146507763,83.56
36,f6a1465545d4e7adc923adafeb1d9b4d0839e3b0,2916941357,33.127415695,83.97
37,a829af8bf0535580214e90543dc45d32677e781d,2909440666,28.780391348,96.40
38,588e2e7675191bc6721eff29e0a1d9702363ff6e,2932156936,54.440265888,51.36
39,8c0d14ba60e4fd2080973e92fc9bfa9145a4ac60,2909329147,27.962502200,99.22
40,6c1ff429defa1def5ce35a9b49766a22ab2033b2,2909791533,31.478586261,88.15
41,e54fd68324a3e7233da3dd2dbee2e487d702e062,2931450368,27.144997926,102.98
42,f1c0673a557668ec69d4979d49932faf075c4307,2909006795,33.677653172,82.37
43,53ab0f2fc816c6d733fa37846141cb3151e75254,2908100201,27.706400392,100.09
44,b1b176e5a6c24464e4f09184b70b45d97f95d176,2911259136,30.273171375,91.71
45,4fd09ec6be986cb3f3e4a819b9424a1cecf88e28,2895335664,35.993045961,76.71
46,6c96da217e6ee4cb7adbe90d40f4728ae83c3691,2913876057,27.055373445,102.71
47,ac838306a04609280fc058a3bef23fa8661ec12f,2934058332,27.428726323,102.01
