Version,CommitHash,RestoredLogicalSize_Bytes,RestoreTime_Seconds,RestoreThroughput_MB/s
27,c52d29b6e27255c3c125ff87900a335b8cb185cf,23251997,.194085659,114.22
28,c4483bcd49d52f2bc05e4648fcac6e19b5dec9ba,22983370,.149475225,146.57
29,0f35290547c2b94053656646d068d50f16238c3c,23043807,.271950835,80.78
30,19579fdc34f548fe4c6322ab899fad4fa928b23e,24274585,.249074073,92.94
31,ac89988b49b73df703f435b045f71f9db88dfc02,24288551,.159263294,145.41
32,c72196cbffbb4ee33c7f5ab4f9616330395deb61,24288643,.266162078,87.01
33,cb15e0067fffc29f4097e45fa45b24a444816385,24288643,.077398209,299.23
34,4a03f7391087391dcddd236758a39f77efc1ce69,24073256,.203671712,112.68
35,caede3049d277a0e3c711768a59d87d92138e8c2,30262722,.172932545,166.88
36,918a186eb6429cb017be03d2131b0aebcff9672b,30317840,.157387392,183.68
37,37cc474ceb9a87f5b774e15f59b9feb0e931270d,28495817,.229012603,118.63
38,69dc39149503dcc0e00a61288cc2182772489524,30746112,.316963997,92.50
39,b4a442bb6ea991b93b972e3028519d0911d04473,30472038,.513893332,56.54
40,a48646f3e1129300dff856971a6c169f461692ec,24330339,.540994524,42.88
41,d4dd4810a1a38d3776df001b86d9a6550be0c6d8,24268414,.427432377,54.13
42,215a6a7b58c4c5d3b445e0bf65088cbdf5f2d0b0,30483243,.408338032,71.19
43,3c777964983df6552d7b6f42c9ecc0327faa124b,30483357,.359902291,80.77
44,f2313eba31f54eac8af5b1383147d7615fb70f9a,6674662,.188002528,33.82
45,b590074fedf3882d7524f068f3158cd599805a21,6688084,.214345611,29.71
46,f488c2934b23dca010f2b972d3e653cc1a15b8b8,7001358,.092140675,72.38
47,b84868f571d35efdb91e5002f9c6cfbaebaff463,9243720,.232179153,37.94
48,b5bab875d3bdf5acb2856c1352445896376840fb,8995569,.180196630,47.55
49,18f831483078729e0080e78dfa3761ddc49208ed,9051283,.208853222,41.32
50,9862695e0938f60d534a753908ee00630c74eddd,9193171,.079702925,109.90
51,5d89bf00d017d0e997f2e86229a3c33a96dab829,9205849,.097168333,90.25
52,f11f9b1d7d7a9a07c8c1a0f26e4cd4ce698cd4d4,9226154,.105971516,82.94
53,3f78809b967622a3c9a1e3c3acf143fd8488c0cb,9261567,.123643619,71.41
54,72777226d2fba81924da55dbbf0a5635c09ff774,9262457,.134842601,65.48
55,90a441a49ae937a422c5a3cd86654b80242e772f,9501891,.087363412,103.70
56,490451e21867853b4900060bd16b1c6146722005,9178608,.087455645,100.05
57,6c0a0483960c6a80dc3e23266ed5439aac30c5fc,9488019,.163437186,55.31
58,da25fbf67e8095d4448d83e888886663360a7d53,9185592,.111305452,78.70
59,c2c15dddcfc164456b6e37f12685946077ac6957,9559385,.083666266,108.88
60,ab6f39af952b826d9b8a5efde7eb6fae86df97c1,9565107,.086027607,106.01
61,17956fdc154604d3b278ed75ef1649bc0ee7340a,10768516,.193895576,52.91
62,e364044aa01196d5b82f69b973bfc8080496f0ab,10807079,.251495745,40.95
63,4a8327236445e398022b43d74423dc25f0a00757,10817789,.216819450,47.55
64,0e32fe7f8de11d1b3a011087d213be2e25bab669,11113009,.211271585,50.12
65,98c54d06b5df5da4ea5d462a7b14dbacac82e55b,10818102,.075080644,137.31
66,037c21ed78169ac30b59a2923758ae50da5242ab,10998562,.052315096,200.32
67,faa8f73f2ac68ce4dac72fddd3a6ebe86a2b3d88,11117294,.073461303,144.29
68,aa98abf492237f6a0d62a5945e59eba6b9461436,11376821,.082306749,131.70
69,22fbbdf8af18e00883547df00c205447c24566e5,11419184,.090613503,120.18
70,d37fe8ee1f6ee2cb34120e998b059969291475d8,11719683,.143468495,77.85
71,bda757ff5ef05a922b3ee58e1b803d88cc3d7cd5,11436577,.203748152,53.49
72,dd7590efff5b2630ef60130ecf59c60dedf3570e,11920396,.140783042,80.69
73,af84326575cfb7ff87f45cd1781a5e14ff2c8329,11736002,.204061779,54.83
74,cdaba20112f27762596e5eaef6a4740c8afc9896,11925447,.182434367,62.32
75,1ab912853008cab54f885dbcceddc580b9e46cd5,11977678,.174967192,65.26
76,a451391f6b6aabfa2be1897f9a0b227641959f7e,11989262,.264310903,43.24
77,dd4182d253070a2ae95fe6f66884b922479ba3f8,12006747,.058522590,195.65
78,d5e1029d6799ac963d2af0ebc27f113dfa5a48d5,12072734,.067932547,169.43
79,b0840c85c3b8a9bead443b688ad757f74892136f,12086106,.062913754,183.10
80,7dc1c9ddd21a9f3e2961163570e783657fbd6c6f,12956492,.181862312,67.90
81,55d07250d6803114e387677ac90c24c51c38f897,12165917,.224889396,51.58
82,2c836d2159c582ba981a1a81e21bcafb058998da,12956492,.138373903,89.25
83,a85a2ad4e108ae1710c692eedcac2346c7e389ec,15456618,.187088747,78.78
84,d131301dc8b16e8da6926582a96d67dd20287b90,15456879,.228546371,64.49
85,8e572ab6063a4783f7e39ad814dfcb76c3a441a5,15456886,.191982415,76.77
86,3e7f8b5571578feda0fc1c1319ccc0e9588e0c95,15549748,.083698693,177.06
87,b4768010853e6d0b54dcf9e1335aa08e195b070b,16027382,.121165038,126.10
88,d68b31fcd021cde8310ca674b795970a870ab9f3,16256844,.224915541,68.91
89,5301b6a3d2bc39f11af0fe565cc0cee5267f7c37,16246635,.216086908,71.68
90,fbc0e2f99bcb9ce6c794c915380a5361cc99a475,30754304,.313560509,93.50
91,b9653e6300d3b7106e966441dd70fb380793bbcd,18943272,.252942202,71.39
92,dc5ad19f92c43f8f60bfb1c49897190cdf75a1a3,18943438,.255873494,70.58
93,6045fd65977ff375edf210e9d44712938a16000b,18940474,.257836844,70.04
94,94167009c46b3950a99060701cd60de37b912df6,23775521,.261360036,86.73
95,e548aafd6eccc83637c4051f3a1c3e311e5a84e5,23990583,.323688958,70.65
96,1a8d63cd0ec15401051c200c5df3f0cab5a6895d,24162640,.337223759,68.32
97,7d6ee05b33e19be364909faa0769c9eb52072aa9,24189661,.188507381,122.32
98,192f345b15b234d579d66ba6bb0128d512b2ae14,24189739,.246767410,93.44
99,41edcbc6571f5629e059b892cc8774363bbe2254,38230903,.519113949,70.21
100,8d4ae8f50e8a1626afbde08fc098f869561bfa6f,34465872,.564324541,58.22
1,a6c036d5a796f22624ffbf2f0da80f9480d362d3,15490466,.400278179,36.89
2,8dfba9e8651a584e6cb8b6e4ace776324ab751ee,19007355,.263388108,68.79
3,6e7b2d0ae296d9e34cc9a463fe673f53947eeed0,15739724,.337582368,44.46
4,1cc370c69063b13f8307492215f2656e6cd03d53,15530055,.188016897,78.76
5,77911b76357ea9b50cd16c35dd17475fb37818e5,15531646,.142206605,104.14
6,e8d3641dc60d4ad1d97d0a49bb8ed2475ea517e4,18610858,.269966017,65.71
7,2f5508025a217c3a087f7a377fcf97c18e132e4c,19089441,.191352059,95.11
8,9f023fbc08e082990dc7979df6617e5c2955f225,19093720,.158975528,114.48
9,a398d3f7c5c9656290f1218206bb97918f51dee1,19365050,.198976509,92.77
10,f19ec5741c0c3e3a54bee2ba00c28f4d9eec9321,19396536,.064091587,288.49
11,b58251f6a4dea622cc376fdf956d136b84c8a237,19398516,.104915334,176.23
12,d1b13bcdf82d08cd99cb1de40ae0862db09958ec,19398575,.123366541,149.87
13,d4932a86bb74b237f40c8ccab57d282cb5e06244,19463444,.056829422,326.59
14,4edad8dbf21b9cd56e1ac4687b6043833e4973d7,19833514,.121074122,156.18
15,366519e47b3878e57dfe564bc1a4f7c3f61fe8e2,20463474,.107066661,182.22
16,d2e25fe5c8b0f6fde260c154be1d1b3303367867,19878933,.147750918,128.25
17,f3ceaf8dc536d4cf3d7313bf7c466575a9fbd52a,19907416,.101718153,186.59
18,81d17b1f168d05ac8ccce9e137bd232b6dd00e5e,20506924,.153590186,127.28
19,aee097cd31a6edbcc0c72255768ac2f5148caef4,20592414,.144201697,136.12
20,b96e2bcf17192fd09238493d527393fd86b18e19,20745868,.058014844,340.94
21,3ce8e4c09ece247baf0d52e3364c28c81381695e,20982009,.071622420,279.38
22,fa627ccd7fc3e2f914f3bec0acde7bec640661c5,21092840,.105193534,191.17
23,dc6b8782ea5f8f90f1d517df97d24e9e45149114,22144151,.122511284,172.31
24,9998eb05b925c68f32a26bf893460961a678ebb9,22164045,.105230345,200.79
25,dfa158ac8f227d1c12103ba9c62c886c2f02478d,22202232,.234333394,90.34
26,711ddc1787d88140ff44ada13109619ce382de7f,22838844,.203246330,107.16
27,c52d29b6e27255c3c125ff87900a335b8cb185cf,23251997,.167120487,132.65
28,c4483bcd49d52f2bc05e4648fcac6e19b5dec9ba,22983370,.217774661,100.60
29,0f35290547c2b94053656646d068d50f16238c3c,23043807,.166121102,132.25
30,19579fdc34f548fe4c6322ab899fad4fa928b23e,24274585,.184892667,125.20
31,ac89988b49b73df703f435b045f71f9db88dfc02,24288551,.178773492,129.54
32,c72196cbffbb4ee33c7f5ab4f9616330395deb61,24288643,.130314120,177.72
33,cb15e0067fffc29f4097e45fa45b24a444816385,24288643,.150977049,153.40
34,4a03f7391087391dcddd236758a39f77efc1ce69,24073256,.071392238,321.46
35,caede3049d277a0e3c711768a59d87d92138e8c2,30262722,.273045412,105.69
36,918a186eb6429cb017be03d2131b0aebcff9672b,30317840,.139908446,206.63
37,37cc474ceb9a87f5b774e15f59b9feb0e931270d,28495817,.808774410,33.59
38,69dc39149503dcc0e00a61288cc2182772489524,30746112,.323487581,90.63
39,b4a442bb6ea991b93b972e3028519d0911d04473,30472038,.660985625,43.96
40,a48646f3e1129300dff856971a6c169f461692ec,24330339,.494956595,46.87
41,d4dd4810a1a38d3776df001b86d9a6550be0c6d8,24268414,.105333048,219.68
42,215a6a7b58c4c5d3b445e0bf65088cbdf5f2d0b0,30483243,.316648548,91.80
43,3c777964983df6552d7b6f42c9ecc0327faa124b,30483357,.296759530,97.95
44,f2313eba31f54eac8af5b1383147d7615fb70f9a,6674662,.296215166,21.47
45,b590074fedf3882d7524f068f3158cd599805a21,6688084,.228480905,27.87
46,f488c2934b23dca010f2b972d3e653cc1a15b8b8,7001358,.206844943,32.24
47,b84868f571d35efdb91e5002f9c6cfbaebaff463,9243720,.184011623,47.87
48,b5bab875d3bdf5acb2856c1352445896376840fb,8995569,.204752896,41.85
49,18f831483078729e0080e78dfa3761ddc49208ed,9051283,.249755892,34.55
50,9862695e0938f60d534a753908ee00630c74eddd,9193171,.172736094,50.71
51,5d89bf00d017d0e997f2e86229a3c33a96dab829,9205849,.352165138,24.90
52,f11f9b1d7d7a9a07c8c1a0f26e4cd4ce698cd4d4,9226154,.127975569,68.68
53,3f78809b967622a3c9a1e3c3acf143fd8488c0cb,9261567,.058764059,150.26
54,72777226d2fba81924da55dbbf0a5635c09ff774,9262457,.060258060,146.53
55,90a441a49ae937a422c5a3cd86654b80242e772f,9501891,.055347679,163.69
56,490451e21867853b4900060bd16b1c6146722005,9178608,.116948477,74.81
57,6c0a0483960c6a80dc3e23266ed5439aac30c5fc,9488019,.083362852,108.44
58,da25fbf67e8095d4448d83e888886663360a7d53,9185592,.120120197,72.92
59,c2c15dddcfc164456b6e37f12685946077ac6957,9559385,.111798975,81.48
60,ab6f39af952b826d9b8a5efde7eb6fae86df97c1,9565107,.076551150,119.13
61,17956fdc154604d3b278ed75ef1649bc0ee7340a,10768516,.163370789,62.80
62,e364044aa01196d5b82f69b973bfc8080496f0ab,10807079,.318390475,32.35
63,4a8327236445e398022b43d74423dc25f0a00757,10817789,.217135331,47.48
64,0e32fe7f8de11d1b3a011087d213be2e25bab669,11113009,.127286277,83.19
65,98c54d06b5df5da4ea5d462a7b14dbacac82e55b,10818102,.106142150,97.13
66,037c21ed78169ac30b59a2923758ae50da5242ab,10998562,.129680706,80.81
67,faa8f73f2ac68ce4dac72fddd3a6ebe86a2b3d88,11117294,.149216556,71.03
68,aa98abf492237f6a0d62a5945e59eba6b9461436,11376821,.148731223,72.88
69,22fbbdf8af18e00883547df00c205447c24566e5,11419184,.115845420,94.00
70,d37fe8ee1f6ee2cb34120e998b059969291475d8,11719683,.142347554,78.46
71,bda757ff5ef05a922b3ee58e1b803d88cc3d7cd5,11436577,.115259863,94.56
72,dd7590efff5b2630ef60130ecf59c60dedf3570e,11920396,.069262747,164.01
73,af84326575cfb7ff87f45cd1781a5e14ff2c8329,11736002,.102242660,109.44
74,cdaba20112f27762596e5eaef6a4740c8afc9896,11925447,.150826961,75.38
75,1ab912853008cab54f885dbcceddc580b9e46cd5,11977678,.247485378,46.14
76,a451391f6b6aabfa2be1897f9a0b227641959f7e,11989262,.114903107,99.47
77,dd4182d253070a2ae95fe6f66884b922479ba3f8,12006747,.170042486,67.33
78,d5e1029d6799ac963d2af0ebc27f113dfa5a48d5,12072734,.191399131,60.13
79,b0840c85c3b8a9bead443b688ad757f74892136f,12086106,.080431258,143.22
80,7dc1c9ddd21a9f3e2961163570e783657fbd6c6f,12956492,.246847683,50.03
81,55d07250d6803114e387677ac90c24c51c38f897,12165917,.181570585,63.88
82,2c836d2159c582ba981a1a81e21bcafb058998da,12956492,.224237589,55.07
83,a85a2ad4e108ae1710c692eedcac2346c7e389ec,15456618,.215241160,68.48
84,d131301dc8b16e8da6926582a96d67dd20287b90,15456879,.222108640,66.36
85,8e572ab6063a4783f7e39ad814dfcb76c3a441a5,15456886,.311811865,47.27
86,3e7f8b5571578feda0fc1c1319ccc0e9588e0c95,15549748,.259697978,57.06
87,b4768010853e6d0b54dcf9e1335aa08e195b070b,16027382,.114560936,133.37
88,d68b31fcd021cde8310ca674b795970a870ab9f3,16256844,.286129236,54.17
89,5301b6a3d2bc39f11af0fe565cc0cee5267f7c37,16246635,.332528442,46.58
90,fbc0e2f99bcb9ce6c794c915380a5361cc99a475,30754304,.298932678,98.08
91,b9653e6300d3b7106e966441dd70fb380793bbcd,18943272,.374553739,48.21
92,dc5ad19f92c43f8f60bfb1c49897190cdf75a1a3,18943438,.268143940,67.35
93,6045fd65977ff375edf210e9d44712938a16000b,18940474,.072573848,248.84
94,94167009c46b3950a99060701cd60de37b912df6,23775521,.199832810,113.44
95,e548aafd6eccc83637c4051f3a1c3e311e5a84e5,23990583,.334057749,68.46
96,1a8d63cd0ec15401051c200c5df3f0cab5a6895d,24162640,.174803171,131.80
97,7d6ee05b33e19be364909faa0769c9eb52072aa9,24189661,.241896515,95.33
98,192f345b15b234d579d66ba6bb0128d512b2ae14,24189739,.156921516,146.95
99,41edcbc6571f5629e059b892cc8774363bbe2254,38230903,.445246964,81.86
100,8d4ae8f50e8a1626afbde08fc098f869561bfa6f,34465872,.552486934,59.47
